,tweet_id,datetime,tweet_text,polarity,sentiment,author_id,followers_count,retweet_count,like_count,collection_time,original_tweet_id
22,1455541140376244231,2021-11-02 10:23:45,Great Where can I see your weekly price targets I am not seeing in your tweets,0.8,positive,2782726141,,0,1,2021-11-03 08:46:25,
20,1455542749285978123,2021-11-02 10:30:08,My career to date has been VC gt TC gt VC gt TC I m taking up the siren call of the dark side yet again gt VC this time at a firm named for light aka Capital where I will be head of editorial,0.01666666666666668,positive,118613399,10789,8,395,2021-11-03 08:46:25,
16,1455544097347866627,2021-11-02 10:35:30,With PLTR Leave Politics Aside and Focus On the Foundry,0.0,neutral,102869127,14900,5,73,2021-11-03 08:46:25,
7,1455546384359305225,2021-11-02 10:44:35,Year to date Percentage Growth BAC 101 AAPL 38 BB 149 PLTR 156 LUV 22 PLAY 112 SQ 60 My 401K 2 Moral of the story learn to invest on your own,0.3,positive,1160995924275056645,11,1,0,2021-11-03 08:46:25,
6,1455547996678987782,2021-11-02 10:50:59,communist totalitarian technology,0.0,neutral,345193198,,0,6,2021-11-03 08:46:25,
10,1455550389219102724,2021-11-02 11:00:30,PLTR like to take the stairs up and elevator down but right now it is heading higher 29 30 the likely target But tbh there are better charts out there,0.17603174603174604,positive,1586109433,5602,1,7,2021-11-03 08:46:25,
8,1455551000597696516,2021-11-02 11:02:56,We trained the fictional deaths of potential Black and brown victims with data from actual deaths of Black and brown victims Who thought this was a good idea,0.06111111111111111,positive,175292337,,13,41,2021-11-03 08:46:25,
2,1455553104049487877,2021-11-02 11:11:17,Starting with 15k down to 7k back up to 90k Lot of thanks to this chat plug sofi phun cscw qqq edu tqqq pltr bngo,0.011111111111111106,positive,1455552629547880453,0,1,0,2021-11-03 08:46:25,
1,1455553718045134852,2021-11-02 11:13:43,may i ask 1 when did you start the journey 2 how much did you start with and 3 if it was for the people would it be better to find 10 20 apprentice and teach them your skills ripple affect 10 20Billion potential of the group will be HUGE,0.275,positive,1323478052890845184,,0,2,2021-11-03 08:46:25,
0,1455555203617406977,2021-11-02 11:19:38,In a way TRIP Tripadvisor reminds me a little bit of GameStop Stock price obliterated for years and down 50 since March Business model undergoing profound transformation with favourable macro exiting Covid GME AMC PLTR RKLB DM TSLA DWAC SPCE,-0.08657407407407408,negative,1328378492044632068,58,0,0,2021-11-03 08:46:25,
3,1455555474951188481,2021-11-02 11:20:42,It s almost magical how trendlines work sometimes isn t it PLTR has been bumping against this descending trendline going back to Feb The last time it did it was above 29 and the price got faded by sellers This time we re coming up on a potential positive event catalyst w ER,0.12121212121212122,positive,102869127,14900,9,98,2021-11-03 08:46:25,
20,1453690254360252421,2021-10-28 07:48:59,This Weeks most active stock options TSLA NVDA PLTR LCID MS FB AAPL,0.18333333333333335,positive,1499852552,,6,31,2021-11-03 08:46:24,
29,1454194473630670848,2021-10-29 17:12:34,For those who ask me what a full video recap looks like as I do it each day spx qqq tsla aapl amzn lcid fsr pltr btc eth mana waxp Above is for the weekend,0.175,positive,455824771,,8,29,2021-11-03 08:46:24,
27,1454216228231340035,2021-10-29 18:39:01,Did u miss out on TSLA That s why you should jump on PLTR asap pltr palantir,0.0,neutral,1339697284725022721,,1,1,2021-11-03 08:46:24,
34,1454218974246227968,2021-10-29 18:49:56,LCID March through November 2 x 30P rolled 53 3 return vs buying shares in March 33 20 11 4 return when began this trade SELLING options premium 45DTE SPY QQQ TSLA PLTR SOFI RBLX AFRM NVDA BA BTC SQ LCID Options trading stocks dividend,0.0,neutral,739575120671346688,,1,5,2021-11-03 08:46:24,
0,1455259380639752196,2021-11-01 15:44:08,Check out this in depth piece in Inquest by panjwani on how ICE manipulates its algorithm to incarcerate immigrants Understanding how ICE does the case for abolishing immigration detention even stronger NoTechForICE,0.0,neutral,3282033720,,13,11,2021-11-03 08:46:24,
16,1455261620410535936,2021-11-01 15:53:02,Getting a no risk starter going on GIG at 10 All commons Thesis Almost 10x normal volume means ARB ceiling is being chipped away at Defense AI huge TAM PLTR competitor Current call put ratio einhorn is shooting too hot to ignore Merging with,0.2,positive,1347757087346946048,,2,13,2021-11-03 08:46:24,
23,1455458024424886272,2021-11-02 04:53:28,For Q1 and Q2 2021 PLTR posted 49 YoY revenue growth If applied for Q3 the same the revenue growth then Q3 should yield 435 million This is tough test as on basis it will be significant uplift from Q2 2021 and if it not reached it s relative underperformance,-0.0034722222222222238,negative,118655832,3812,4,61,2021-11-03 08:46:24,
25,1455471087983251462,2021-11-02 05:45:23,To those that are curious here is a big chunk of my portfolio I m currently liquidating all my other positions except Tesla to fund Palantir and SoFi Do your research on those you ll still be an early investor Hold for the next 5 years This is not investment advice,-0.020833333333333332,negative,1004129134463934464,,5,32,2021-11-03 08:46:24,
3,1455521309916553216,2021-11-02 09:04:57,I just wrote a letter Write letter to regarding amp their provision of predictive artificial intelligence provided to Israeli military Write one here,-0.35,negative,28104750,,1,0,2021-11-03 08:46:24,
7,1455527088786608129,2021-11-02 09:27:55,MARA set to go a new ATH,0.13636363636363635,positive,58262904,,3,60,2021-11-03 08:46:24,
37,1455529968016973842,2021-11-02 09:39:21,After avg down 18 I ve had enough of this rope a dope,-0.07777777777777779,negative,1145737164292055041,,0,4,2021-11-03 08:46:24,
14,1455542084933464069,2021-11-02 10:27:30,FT Weekly Price Prediction List TSLA 1150 CNTX 7 LCID 45 BKKT 45 GEVO 9 AGC 14 PLTR 27 NFLX 700 RBLX 87 FB 330 AMC 45 DWAC 80 MSTR 740 COIN 330 GME 200 DCRC 14 METX 1 AUPH 35 PAG 110 STEM 25 CROX 168 RUN 60 LFG,0.0,neutral,1341865658271866881,,1,8,2021-11-03 08:46:24,
26,1455548095698198532,2021-11-02 10:51:23,Do you ever execute trades you did not prepare for Do you ever plan for trades you never execute,0.0,neutral,18427624,,5,112,2021-11-03 08:46:24,
9,1455549057540268037,2021-11-02 10:55:12,de points depuis 6 ans que T Mac le first ballot Hall of Famer,0.25,positive,44080108,,0,0,2021-11-03 08:46:24,
31,1455554084371460098,2021-11-02 11:15:11,CAR Perfectly normal market CAR 260C went from 1 to 170 today 17000 SELLING options premium 45DTE SPY QQQ TSLA PLTR SOFI RBLX AFRM NVDA BTC SQ LCID Options trading stocks dividend,0.15,positive,739575120671346688,,1,4,2021-11-03 08:46:24,
2,1455555697345765378,2021-11-02 11:21:35,aapl keep pushing with volume well i am not in hurry since i want 500s by AAPL car against tsla and lcid pltr red today with low volume like they did with afrm yesterday nothing to worry for me,0.0,neutral,279020836,7035,1,4,2021-11-03 08:46:24,
32,1455556313807736835,2021-11-02 11:24:02,Combine that with the fact that even long term call options are ridiculously cheap If people discover TRIP and becomes a meme stock literally millions could be made on these call options Deep OTM calls a year out selling for pennies GME AMC PLTR RKLB DM TSLA DWAC SPCE,0.11666666666666668,positive,1328378492044632068,,1,0,2021-11-03 08:46:24,
35,1455556515176325122,2021-11-02 11:24:50,Starting with 25k down to 15k back up to 85k Lot of thanks to this chat AMC OCGN GME PLTR TSLA SPY SPCE NIO FCEL,0.011111111111111106,positive,1455556183750844427,0,1,2,2021-11-03 08:46:24,
30,1455556739374460946,2021-11-02 11:25:44,Loading up on PLTR June 22 30C LEAPs in b w cross exam Filled at 2 95 per contract OI at 23 419 delta at 45,0.2,positive,1255201988247257090,1669,0,8,2021-11-03 08:46:24,
36,1455557097618239497,2021-11-02 11:27:09,Can t get a single call put right Selling too early for a loss or too late for a complete loss At this rate I m going deranged in no time BILI RBLX PLTR AMC stocks ApeNation,0.02285714285714286,positive,58037647,43,1,1,2021-11-03 08:46:24,
21,1455558474297978884,2021-11-02 11:32:37,Starting with 7k down to 3k back up to 29k Lot of thanks to this chat SNDL PLTR F AMD BRPM SNAP INTC AAPL NVDA,0.011111111111111106,positive,1455558206063882247,0,1,0,2021-11-03 08:46:24,
33,1455558568246059017,2021-11-02 11:33:00,Our top stock alert closed by the analysts today QQQ SPY NDX IWM QQQ BTC ETH AAPL TSLA AMC NAKD SNAP FB AFRM CRM ROKU PLTR QS,0.2,positive,1437500326513451011,46,1,0,2021-11-03 08:46:24,
28,1455558967862644736,2021-11-02 11:34:35,Starting with 7k down to 3k back up to 29k Lot of thanks to this chat SNDL PLTR F AMD BRPM SNAP INTC AAPL NVDA,0.011111111111111106,positive,1455558684650754050,0,1,0,2021-11-03 08:46:24,
22,1455561128034111497,2021-11-02 11:43:10,Don t it s the stone worst stock,-1.0,negative,1089919006193139713,,0,0,2021-11-03 08:46:24,
18,1455561523569602572,2021-11-02 11:44:44,ARE YOU SMILING Given to you for FREE AAPL calls up 95 MARA calls up 75 SNAP puts up 45 If you made money If you want more SPY TSLA SHOP AMZN ROKU NFLX BYND LCID PLTR COIN MRNA QCOM ROKU NIO,0.45,positive,341223258,3516,2,31,2021-11-03 08:46:24,
11,1455561889166020618,2021-11-02 11:46:12,Higher highs and decent resistance Soon and that ascending triangle is broken and we see 27 long term now PLTR,-0.008333333333333349,negative,1322058882584399873,374,1,0,2021-11-03 08:46:24,
12,1455563310116519941,2021-11-02 11:51:50,Sold all my PLTR shares today added to MELI and SKLZ and bought a little TIGR for the long term Awaiting for earnings,-0.11875,negative,1412055514503172101,25,1,3,2021-11-03 08:46:24,
13,1455563487434915851,2021-11-02 11:52:33,What Are Whales Doing With Palantir Technologies PLTR,0.0,neutral,1386391191361572870,866,1,0,2021-11-03 08:46:24,
15,1455564881768353800,2021-11-02 11:58:05,Buying BKKT because is goin to run Let s gooooo Goin whales buying AFRM PLTR NVDA AMD ROKU SNAP CRM FB AAPL UPST MRNA QS U TSLA DATS ES TWTR DKNG ZM APPS BB CEI FFTY SQ WISH SPX AMZN TTD PTON NFLX AMC OSTK ATER SIVB AAL ATKR OLB CAR GMBL,0.0,neutral,1269460308130705408,117,1,0,2021-11-03 08:46:24,
